index,age,weight_lbs,temperature,heart_rate_bpm,resp_rate_bpm,mm,crt,mentation,vomiting,diarrhea,inappetence,lethargic,lameness,muscle_pain,joint_swelling,reported_weight_loss,skin_condition,is_4dx_tested
112,4,54,100,145,138,2,0,1,1,1,2,2,0,2,2,0,0,Negative
113,0.08333333333333333,82,100,90,22,2,1,4,1,3,0,0,0,2,2,0,2,Negative
116,0.25,100,99,131,139,2,2,2,3,2,2,2,0,2,2,0,2,Negative
117,0.25,73,102,157,31,2,2,4,2,1,2,0,0,2,2,0,2,Negative
122,0.3333333333333333,39,99,170,20,0,1,1,0,3,2,0,0,2,0,0,2,Negative
124,0.08333333333333333,34,101,168,131,2,0,4,1,3,2,0,0,2,2,0,2,Negative
126,1,73,103,164,148,2,1,2,1,3,0,1,1,1,1,0,2,Positive
130,8,54,100,158,21,0,0,1,1,3,2,2,0,0,2,0,2,Negative
134,5,5,100,116,121,0,1,1,3,2,0,0,0,2,2,0,2,Negative
136,3,73,99,152,122,2,1,4,1,1,2,2,0,2,2,0,0,Negative
140,2,68,101,186,19,2,0,1,3,3,1,0,0,2,0,0,2,Negative
141,0.25,76,103,150,18,0,0,2,1,1,0,0,1,2,0,0,2,Positive
143,0.8333333333333334,70,102,174,31,1,3,2,2,1,2,0,0,2,2,0,0,Negative
144,2,80,100,177,42,2,0,2,2,3,2,2,0,2,2,0,2,Negative
148,7,70,100,173,139,2,0,1,3,2,2,2,0,2,2,0,2,Negative
150,8,26,99,184,120,2,1,4,1,1,2,2,0,2,2,0,2,Negative
154,0.08333333333333333,29,99,188,150,2,0,4,2,2,2,1,0,2,2,0,2,Negative
157,3,22,99,112,41,2,0,2,3,3,1,2,0,2,0,0,2,Negative
162,1,69,102,184,121,1,3,4,1,3,2,1,0,2,2,0,2,Negative
166,0.08333333333333333,45,99,92,37,2,1,4,3,1,2,0,0,0,2,0,0,Negative
172,1,46,99,178,40,2,1,1,3,1,2,1,0,0,2,0,2,Negative
174,2,53,101,134,19,2,2,1,1,2,1,2,0,2,2,0,2,Negative
176,3,70,99,183,52,1,3,1,1,1,0,2,0,2,2,0,0,Negative
177,0.4166666666666667,34,102,117,120,2,1,1,3,3,2,0,0,2,2,0,2,Negative
180,0.5833333333333334,70,104,99,49,2,0,2,3,3,2,0,0,2,1,0,2,Positive
182,2,57,101,140,50,2,0,1,1,3,2,2,0,2,2,0,0,Negative
184,10,95,99,181,32,1,3,2,3,1,2,2,0,2,2,0,2,Negative
192,12,60,100,132,18,1,3,1,3,0,2,2,0,2,2,0,2,Negative
194,2,53,99,190,53,2,0,1,1,3,1,2,0,2,2,0,2,Negative
197,1,31,102,155,126,2,1,1,2,0,2,2,0,2,2,0,2,Negative
199,0.25,35,100,122,129,2,1,4,3,1,2,0,0,2,2,0,2,Negative
201,4,55,101,113,57,1,3,4,1,3,1,2,0,2,0,0,2,Negative
202,5,31,100,103,55,1,3,2,2,3,0,0,0,0,2,0,2,Negative
206,2,20,99,183,21,1,3,2,3,2,0,0,0,2,2,0,2,Negative
208,0.6666666666666666,14,99,134,22,2,0,2,1,1,2,0,0,2,2,0,0,Negative
209,2,55,102,104,52,2,1,1,3,0,2,2,0,2,2,1,2,Negative
210,3,6,101,96,128,1,3,2,1,3,1,2,0,2,2,0,1,Negative
215,4,6,102,115,55,1,3,1,0,1,2,0,0,2,0,0,2,Negative
217,2,82,102,151,46,2,0,1,0,1,0,2,0,2,2,0,2,Negative
218,2,29,99,108,125,2,1,2,1,3,2,0,0,2,2,0,2,Negative
222,2,27,100,133,59,1,3,0,3,3,2,2,0,2,2,0,1,Negative
224,5,188,102,92,38,2,0,1,3,0,2,0,0,2,2,0,2,Negative
225,0.16666666666666666,78,102,132,59,2,1,1,2,1,1,0,0,0,0,0,2,Negative
226,6,56,100,168,48,2,0,1,1,1,2,0,0,0,2,0,2,Negative
228,7,77,100,101,21,2,0,1,1,1,0,2,0,0,2,0,2,Negative
229,5,71,102,113,56,2,1,1,3,3,2,2,0,2,2,0,2,Negative
230,1,11,102,173,27,2,0,1,3,3,2,2,0,2,2,0,2,Negative
231,0.16666666666666666,41,100,143,33,0,1,2,3,1,2,0,0,2,2,0,2,Negative
234,0.16666666666666666,5,101,125,53,2,2,1,1,1,2,0,0,2,2,0,1,Negative
238,0.4166666666666667,64,102,161,34,1,3,2,3,2,1,2,0,0,2,0,0,Negative
239,3,59,100,105,121,2,1,2,3,1,2,2,0,2,2,0,2,Negative
240,12,79,99,102,37,0,0,2,1,1,2,0,0,0,1,0,2,Negative
241,5,26,101,169,142,2,2,1,3,1,2,2,0,0,2,0,0,Negative
243,8,66,101,93,42,2,1,2,1,1,2,0,0,2,2,0,2,Negative
244,1,40,101,96,55,0,0,4,3,1,2,2,0,2,0,1,2,Negative
246,2,188,102,160,27,2,0,1,0,1,0,2,0,2,2,0,4,Negative
250,2,30,99,123,60,1,3,1,3,3,0,2,0,2,2,0,2,Negative
253,5,37,100,105,49,2,2,1,1,1,1,2,0,2,2,0,0,Negative
258,0.16666666666666666,87,99,185,49,2,2,1,1,3,1,2,0,2,2,0,2,Negative
259,0.4166666666666667,30,100,137,53,2,0,1,1,1,0,2,1,2,0,0,2,Negative
261,0.4166666666666667,80,101,190,122,2,2,2,0,3,2,2,0,2,2,0,2,Negative
262,0.16666666666666666,123,100,90,54,2,0,2,1,0,0,2,0,2,2,0,2,Negative
263,0.16666666666666666,85,102,163,150,1,3,1,1,1,0,2,0,2,2,0,2,Negative
272,0.75,63,102,91,55,0,0,1,1,1,2,2,0,2,2,0,2,Negative
274,2,87,105,130,131,2,0,4,2,3,0,0,1,0,0,1,0,Positive
278,0.3333333333333333,18,103,152,136,2,2,2,1,3,0,1,1,1,1,0,1,Positive
279,8,86,101,189,129,2,1,2,2,1,2,0,0,2,0,0,2,Negative
285,2,45,102,89,123,2,1,4,1,0,2,0,0,2,2,0,2,Negative
287,3,127,105,178,28,2,2,1,3,0,0,1,1,2,2,0,2,Positive
290,0.08333333333333333,90,102,160,147,2,0,1,3,1,2,2,0,2,2,0,2,Negative
293,0.08333333333333333,134,102,118,40,2,0,4,3,3,2,2,0,2,2,1,2,Negative
294,0.08333333333333333,50,100,133,18,2,0,1,3,0,2,2,0,2,2,0,2,Negative
297,2,66,101,156,18,2,2,2,2,3,1,0,0,2,2,1,2,Negative
299,0.08333333333333333,67,99,188,27,2,0,4,2,1,2,0,0,2,2,0,2,Negative
301,2,33,99,125,122,2,0,1,1,3,2,0,0,0,2,0,2,Negative
304,3,62,100,122,36,2,0,2,1,1,2,0,0,2,2,0,2,Negative
308,0.4166666666666667,78,101,154,57,2,0,1,1,3,2,0,0,2,2,0,2,Negative
309,1,86,103,182,141,2,0,2,2,2,2,1,1,0,1,0,2,Positive
310,1,85,101,111,34,2,0,4,1,1,2,0,0,2,0,0,2,Negative
312,7,87,100,152,52,0,0,2,1,1,2,1,0,2,2,0,2,Negative
313,12,17,99,150,28,2,0,4,1,1,2,2,0,2,2,0,2,Negative
323,4,19,99,93,39,1,3,2,1,1,2,0,0,0,2,0,2,Negative
325,8,22,100,167,128,1,3,2,2,0,2,2,0,2,2,0,2,Negative
329,3,43,103,107,125,2,1,4,3,2,0,1,1,1,1,1,3,Positive
343,5,67,99,163,137,0,0,4,1,0,2,2,0,2,2,0,2,Negative
347,8,37,101,152,33,2,2,1,1,1,2,2,0,2,2,0,2,Negative
349,0.08333333333333333,41,100,114,19,2,0,1,3,0,2,2,0,2,2,0,2,Negative
351,0.08333333333333333,193,102,172,40,2,1,4,3,1,0,2,0,2,2,0,2,Negative
352,6,36,101,131,145,2,0,2,2,3,2,2,0,2,2,0,2,Negative
355,1,56,100,91,20,1,3,1,1,3,0,2,0,2,2,0,2,Negative
356,1,27,100,144,122,0,0,4,1,3,1,0,0,2,2,1,2,Negative
366,0.16666666666666666,50,101,145,26,2,0,1,3,3,2,2,0,2,2,0,2,Negative
367,6,5,104,120,47,2,1,2,3,3,0,0,1,2,2,1,2,Positive
371,0.3333333333333333,39,102,176,125,2,1,1,1,1,2,2,1,2,2,0,0,Negative
372,6,58,102,150,123,2,2,4,3,1,0,0,0,2,0,0,2,Negative
373,1,67,100,141,36,2,2,4,3,3,2,2,0,2,0,0,2,Negative
375,1,88,101,180,53,2,1,1,3,3,2,1,0,2,2,0,2,Negative
378,0.6666666666666666,82,100,166,43,1,3,4,1,3,1,0,0,2,0,0,2,Negative
383,8,61,101,104,37,2,1,2,3,1,1,0,0,2,1,0,2,Negative
391,9,79,102,111,120,2,1,2,3,3,0,0,0,2,2,0,0,Negative
395,1,23,100,131,34,1,3,2,3,1,2,0,0,2,2,1,2,Negative
407,12,49,99,114,39,2,0,1,1,1,1,1,0,2,2,0,0,Negative
408,0.4166666666666667,51,104,152,32,2,0,0,1,1,1,2,1,2,0,1,3,Positive
415,0.6666666666666666,49,102,108,129,2,0,4,3,1,2,2,0,2,2,0,2,Negative
416,0.16666666666666666,69,100,91,37,2,0,4,3,3,2,2,0,0,2,0,2,Negative
420,9,60,101,114,40,2,0,4,1,3,0,2,0,2,0,1,0,Negative
421,0.3333333333333333,51,104,167,44,0,0,0,1,1,2,0,0,1,1,0,3,Positive
422,2,46,99,99,22,2,0,4,1,3,0,0,0,2,2,0,2,Negative
425,1,70,99,168,120,2,0,1,3,0,2,0,0,2,2,0,0,Negative
426,1,61,102,93,147,2,1,1,1,1,0,2,0,2,2,0,2,Negative
427,5,59,99,189,48,2,2,2,3,2,2,0,0,0,2,0,0,Negative
429,3,68,101,184,146,2,0,1,3,3,2,2,0,2,2,0,2,Negative
437,3,167,105,106,21,2,0,2,1,1,0,0,0,0,1,1,0,Positive
438,2,24,100,167,40,2,1,2,3,1,2,2,0,2,2,0,2,Negative
439,0.16666666666666666,90,101,129,19,2,0,4,1,1,2,2,0,2,2,1,2,Negative
444,0.16666666666666666,33,102,93,125,2,0,2,1,3,2,2,0,2,2,0,2,Negative
445,1,25,101,126,40,2,1,2,2,3,2,2,0,2,2,0,2,Negative
446,1,22,102,120,34,2,2,1,1,1,2,0,0,2,2,1,2,Negative
448,2,81,100,166,147,2,2,1,1,3,0,1,0,2,2,0,2,Negative
451,0.16666666666666666,80,101,102,136,2,1,1,3,1,2,2,0,2,2,1,2,Negative
455,3,36,99,137,123,2,0,2,3,3,2,1,0,0,2,1,4,Negative
458,1,57,99,165,29,0,1,4,1,1,2,2,0,2,2,0,0,Negative
460,0.16666666666666666,32,105,126,137,2,0,2,1,3,0,2,0,1,0,0,0,Positive
461,10,66,100,113,122,2,1,1,3,1,0,2,0,2,2,0,1,Negative
462,5,38,101,104,52,2,1,4,3,0,0,2,0,2,2,0,0,Negative
464,0.4166666666666667,7,99,161,54,2,2,2,3,3,2,0,0,2,2,0,2,Negative
466,0.08333333333333333,74,101,152,45,2,0,2,1,1,1,0,0,2,2,0,4,Negative
468,0.08333333333333333,27,103,102,52,2,0,2,0,3,0,0,1,1,0,1,3,Positive
469,0.08333333333333333,112,99,125,28,2,1,4,0,1,2,1,0,2,2,0,0,Negative
476,3,54,101,135,30,2,1,1,1,3,1,0,0,2,2,0,2,Negative
477,0.3333333333333333,46,102,179,40,2,0,4,1,3,2,2,0,2,2,0,2,Negative
479,0.4166666666666667,135,102,164,42,2,1,4,1,1,1,2,0,2,2,0,2,Negative
481,0.3333333333333333,81,100,167,21,2,1,2,1,3,2,0,0,2,2,1,2,Negative
484,2,82,101,127,124,2,0,4,3,3,2,2,0,2,2,0,2,Negative
486,0.16666666666666666,30,99,117,27,2,0,1,3,3,0,1,0,2,2,0,0,Negative
487,0.75,68,100,161,133,2,0,1,3,3,2,2,0,2,2,1,0,Negative
488,0.5833333333333334,46,100,190,125,0,1,1,1,3,2,0,0,2,2,0,2,Negative
490,2,35,99,183,20,2,0,4,1,3,2,1,0,0,2,0,2,Negative
492,0.3333333333333333,12,102,153,50,2,1,2,2,3,2,2,0,2,2,0,0,Negative
493,1,144,102,141,54,2,1,4,1,0,2,2,0,2,2,0,2,Negative
494,0.25,64,104,105,36,1,3,2,3,3,0,0,1,0,2,0,0,Positive
495,2,82,102,141,31,1,3,0,1,1,0,2,0,2,2,0,2,Negative
496,2,56,100,98,127,2,2,1,2,3,0,2,0,2,2,0,2,Negative
498,1,38,102,164,50,2,0,4,1,1,1,2,0,2,0,0,2,Negative
503,2,39,99,108,143,2,0,3,1,3,2,1,0,2,2,0,2,Negative
509,0.4166666666666667,53,102,154,35,0,1,1,0,3,0,2,0,2,2,0,2,Negative
510,1,33,101,166,145,2,1,2,1,3,0,2,0,0,2,0,2,Negative
511,0.08333333333333333,11,101,121,23,2,2,1,3,2,2,1,0,2,2,0,2,Negative
512,0.08333333333333333,9,102,96,59,2,1,4,2,1,2,2,0,2,2,0,0,Negative
513,2,191,101,178,18,2,0,4,1,2,2,2,0,2,0,0,0,Negative
517,2,48,100,112,46,1,3,2,2,2,2,0,0,2,2,0,1,Negative
519,1,83,99,139,39,2,0,1,1,1,2,0,0,0,2,0,2,Negative
520,2,67,102,110,51,2,0,1,0,3,0,2,0,0,2,0,2,Negative
526,6,14,102,116,60,2,2,4,2,3,2,2,0,2,0,0,0,Negative
530,1,37,101,89,33,2,2,2,3,1,0,0,0,2,2,0,1,Negative
532,1,17,100,108,149,2,0,2,1,1,2,2,0,2,0,0,2,Negative
534,6,11,100,156,120,2,0,4,3,3,2,0,0,0,2,0,2,Negative
537,4,65,100,109,45,2,1,1,2,1,2,2,0,0,0,0,2,Negative
541,4,13,103,164,21,2,0,4,1,3,0,0,1,0,1,1,3,Positive
542,5,64,101,136,22,1,3,1,3,1,2,2,0,2,2,0,2,Negative
543,0.3333333333333333,27,100,139,30,2,0,4,1,3,2,0,0,2,2,0,2,Negative
546,0.5,17,102,145,57,1,3,4,1,2,0,1,0,2,0,0,2,Negative
550,1,59,102,162,49,2,0,0,3,3,0,2,0,2,2,1,2,Negative
551,1,52,100,158,55,2,1,1,3,0,0,2,0,2,2,0,2,Negative
554,0.08333333333333333,5,100,117,124,1,3,4,3,1,0,0,1,2,2,0,2,Negative
555,6,89,100,89,19,2,2,1,1,1,2,2,0,2,2,0,2,Negative
558,1,81,99,141,45,2,1,2,1,2,0,2,0,2,2,0,2,Negative
559,2,67,101,166,137,0,0,1,0,0,2,1,0,0,2,0,2,Negative
569,0.8333333333333334,73,100,91,141,2,0,4,2,3,0,2,0,2,2,0,2,Negative
571,0.75,163,102,178,44,2,0,1,2,3,2,2,0,2,0,0,2,Negative
578,0.005479452054794521,26,102,123,144,1,3,1,1,1,2,0,0,0,2,1,2,Negative
581,2,9,101,148,23,1,3,2,3,3,2,2,0,2,2,0,2,Negative
582,2,83,104,170,131,2,0,2,0,3,0,1,1,1,2,1,2,Positive
583,2,50,101,105,19,2,0,2,3,3,2,2,0,2,1,0,2,Negative
586,15,59,102,173,45,1,3,0,3,1,2,2,0,2,2,0,2,Negative
587,0.08333333333333333,65,99,149,127,2,0,4,0,1,2,2,0,2,0,0,2,Negative
588,4,54,99,187,59,1,3,1,3,1,0,2,0,2,2,1,0,Negative
589,0.3333333333333333,58,100,124,58,2,2,2,0,1,3,0,0,2,2,0,0,Negative
592,1,51,102,181,126,2,1,2,3,1,1,2,0,2,0,0,2,Negative
595,5,19,102,89,37,2,1,4,3,1,0,2,0,2,2,0,0,Negative
597,3,35,100,121,31,2,0,4,1,1,1,1,0,2,2,0,2,Negative
601,1,68,101,105,25,2,0,1,1,3,2,1,0,2,2,0,2,Negative
605,0.75,17,99,93,25,0,0,2,3,1,2,1,0,2,2,0,2,Negative
607,1,58,102,186,22,0,0,4,3,1,2,2,0,0,2,0,2,Negative
608,2,33,99,117,27,2,1,4,3,1,2,0,0,2,2,1,2,Negative
614,1,10,100,129,20,2,2,2,2,0,1,2,0,2,2,0,2,Negative
618,0.75,53,100,180,55,1,3,1,3,3,1,0,0,0,2,0,2,Negative
625,3,84,102,151,141,2,0,1,1,1,0,2,0,2,2,0,2,Negative
632,1,29,99,151,50,2,0,1,2,3,2,0,0,2,2,1,2,Negative
640,2,11,99,145,31,2,0,1,1,1,0,2,0,2,0,0,0,Negative
641,0.08333333333333333,9,102,139,41,2,0,1,0,3,1,2,0,2,2,0,2,Negative
643,1,36,101,106,21,1,3,4,2,3,2,2,0,2,0,1,0,Negative
645,2,49,101,188,122,2,0,4,1,1,2,1,0,2,2,0,2,Negative
646,2,50,100,185,51,1,3,4,1,1,2,0,0,2,2,0,2,Negative
648,10,82,100,150,28,2,0,1,2,1,0,2,0,2,2,0,0,Negative
651,1,19,99,152,55,0,2,1,3,1,2,1,0,2,2,0,2,Negative
655,8,71,100,149,23,2,1,1,1,3,2,2,0,1,2,0,2,Negative
656,6,85,101,124,60,1,3,4,3,2,2,0,0,2,2,0,2,Negative
662,0.08333333333333333,20,99,179,149,1,3,4,3,3,0,0,0,2,2,0,0,Negative
665,4,56,105,150,41,2,0,2,3,1,1,0,1,1,1,0,1,Positive
666,0.08333333333333333,74,102,111,131,2,0,1,3,1,2,2,0,2,2,0,0,Negative
667,2,53,100,128,22,0,2,3,3,3,1,2,0,2,2,0,4,Negative
671,1,85,100,107,142,2,1,1,1,1,2,2,0,2,2,0,2,Negative
675,10,27,101,182,58,2,0,2,3,1,0,0,0,2,2,1,2,Negative
679,0.3333333333333333,70,101,122,27,2,0,4,3,3,1,0,0,2,2,0,0,Negative
681,3,60,99,110,49,2,0,2,1,1,2,2,0,0,2,0,2,Negative
684,0.75,8,101,147,57,2,0,1,3,3,2,2,0,2,2,0,2,Negative
686,2,16,100,152,135,2,1,1,3,3,0,0,0,2,2,1,2,Negative
687,0.9166666666666666,90,100,151,134,2,0,1,1,3,2,0,0,2,2,0,2,Negative
689,2,20,102,123,148,0,0,4,2,3,0,2,0,2,2,0,2,Negative
690,5,39,102,183,50,2,0,2,0,2,2,0,0,2,2,0,2,Negative
691,0.16666666666666666,67,100,137,60,2,1,4,2,1,2,0,0,2,2,0,2,Negative
694,17,85,101,113,26,2,0,1,3,1,2,2,0,2,2,0,2,Negative
696,7,62,101,159,30,2,0,1,1,2,2,2,0,2,0,0,2,Negative
698,16,31,99,171,29,2,0,2,1,3,2,1,0,2,2,0,2,Negative
699,2,74,100,139,51,2,1,1,1,3,2,2,0,2,2,0,0,Negative
701,0.4166666666666667,59,102,116,130,2,2,4,1,3,1,0,0,2,2,0,2,Negative
707,5,61,101,158,53,1,3,1,2,3,2,2,0,2,2,0,2,Negative
711,6,23,102,92,40,2,2,1,1,1,0,2,0,2,0,0,2,Negative
712,0.8333333333333334,37,99,130,48,2,2,1,1,2,2,2,0,2,2,0,2,Negative
717,0.08333333333333333,80,100,185,58,2,1,1,1,3,0,0,0,2,0,0,4,Negative
721,0.75,45,99,133,49,2,2,2,3,3,2,0,0,2,0,0,2,Negative
723,6,8,100,160,35,2,1,1,3,3,0,2,0,0,2,0,2,Negative
724,0.08333333333333333,56,101,140,132,2,0,4,3,3,2,0,0,2,2,0,1,Negative
725,12,73,102,170,127,2,1,1,1,3,2,2,0,2,2,0,2,Negative
728,1,13,101,174,56,1,3,1,3,2,2,2,0,2,0,0,2,Negative
730,5,37,103,188,48,2,2,2,3,3,0,1,0,1,0,0,0,Positive
732,0.16666666666666666,34,102,101,22,1,3,4,3,3,2,0,0,1,2,0,0,Negative
734,7,89,100,151,142,2,0,1,3,1,0,1,0,2,2,0,2,Negative
736,8,33,100,118,28,2,0,2,3,1,0,2,0,2,0,0,2,Negative
742,10,33,104,184,45,0,0,2,3,1,0,0,1,1,1,1,0,Positive
746,0.3333333333333333,62,102,102,122,0,1,1,1,1,1,2,0,2,2,0,2,Negative
752,2,64,100,118,146,0,0,2,3,1,2,1,0,2,2,0,2,Negative
755,0.16666666666666666,71,102,98,44,1,3,1,1,3,0,2,0,2,2,0,2,Negative
763,0.75,20,102,94,124,1,3,1,2,3,0,0,0,2,2,0,2,Negative
764,2,65,100,96,39,2,2,1,0,1,2,2,0,2,0,0,2,Negative
770,0.4166666666666667,81,102,190,26,2,0,4,1,1,0,2,0,2,0,0,2,Negative
771,0.3333333333333333,34,101,100,46,2,1,1,2,3,0,1,0,2,2,0,2,Negative
773,1,54,101,171,29,1,3,1,3,1,0,2,0,2,0,0,1,Negative
774,12,78,105,152,57,2,1,2,1,3,0,1,0,2,1,1,1,Positive
778,3,33,102,96,33,2,0,4,1,2,2,0,0,2,2,0,2,Negative
781,0.4166666666666667,25,100,145,24,1,3,2,3,0,2,0,0,2,2,0,2,Negative
784,1,28,100,151,134,2,0,2,1,3,0,0,0,2,2,0,2,Negative
787,0.5,71,99,129,48,1,3,1,2,1,0,1,0,2,2,1,2,Negative
795,0.5,11,105,122,126,2,2,2,1,1,2,0,1,1,0,0,0,Positive
798,2,173,104,154,120,2,0,1,3,1,0,0,0,0,0,1,3,Positive
799,0.00821917808219178,60,99,103,140,2,2,2,2,2,2,2,0,2,2,0,2,Negative
800,0.00821917808219178,76,100,106,54,1,3,1,3,1,2,2,0,2,0,0,2,Negative
804,4,88,103,175,127,2,0,0,3,0,0,1,1,1,1,0,2,Positive
806,2,87,101,135,42,0,0,2,2,1,2,2,0,2,2,0,2,Negative
810,2,41,101,116,48,2,0,1,2,1,2,2,0,2,2,0,0,Negative
816,12,74,102,158,46,0,1,2,1,1,2,2,0,2,2,0,2,Negative
818,0.3333333333333333,50,100,160,128,2,0,1,3,1,0,1,0,2,0,0,2,Negative
822,4,7,101,155,53,0,0,1,1,3,2,2,0,2,0,0,2,Negative
823,15,50,99,96,53,1,3,1,3,3,0,2,1,0,2,0,2,Negative
827,6,88,101,178,59,2,1,2,3,3,2,0,0,2,2,0,2,Negative
836,1,89,99,97,53,2,1,2,3,1,1,2,0,2,2,0,2,Negative
844,0.08333333333333333,38,102,144,46,2,0,4,2,1,2,2,0,2,2,0,2,Negative
845,0.08333333333333333,31,101,170,20,2,0,1,3,1,1,1,0,2,2,0,2,Negative
851,10,20,104,89,122,2,0,2,1,3,0,2,0,1,1,1,2,Positive
863,13,26,101,125,128,1,3,2,1,1,2,0,0,2,2,0,2,Negative
865,1,35,100,168,135,1,3,1,3,1,0,0,0,2,2,0,0,Negative
866,2,11,101,189,131,1,3,4,1,3,2,0,0,2,2,0,2,Negative
868,8,53,99,160,26,1,3,4,1,1,2,2,0,2,2,0,2,Negative
869,2,90,99,98,40,1,3,4,3,1,2,0,0,2,2,0,2,Negative
870,0.057692307692307696,88,101,155,125,2,2,1,2,1,2,2,0,2,2,0,2,Negative
873,0.057692307692307696,22,101,131,23,2,0,2,1,2,0,0,0,2,2,0,2,Negative
875,3,89,100,91,129,2,0,4,2,3,2,2,0,2,2,0,0,Negative
878,0.057692307692307696,84,100,182,56,2,1,4,1,3,2,2,0,0,2,0,0,Negative
879,0.057692307692307696,20,102,181,52,2,2,4,1,0,1,2,0,2,0,0,2,Negative
882,4,63,102,130,26,1,3,1,3,3,0,2,0,2,2,0,2,Negative
886,6,50,102,141,25,0,0,2,3,1,2,2,0,2,0,0,2,Negative
887,0.6666666666666666,64,99,190,124,1,3,4,3,0,0,2,0,2,2,0,2,Negative
893,1,36,101,140,21,2,0,4,3,3,2,0,0,2,2,0,2,Negative
895,1,48,101,122,46,2,1,2,0,1,0,0,0,2,2,0,2,Negative
897,1,80,99,177,23,2,0,4,3,1,2,0,0,2,2,1,2,Negative
901,0.07692307692307693,36,102,106,27,2,1,2,1,1,2,2,0,2,0,0,2,Negative
904,2,74,102,158,35,2,2,2,1,1,2,0,0,2,2,0,2,Negative
905,7,44,100,142,41,0,0,4,1,1,2,2,0,2,2,0,2,Negative
911,0.08333333333333333,9,100,170,38,0,2,1,1,0,0,0,0,2,2,0,0,Negative
912,2,75,101,178,60,2,0,2,3,3,1,2,0,2,2,0,2,Negative
913,0.4166666666666667,49,99,174,124,0,0,1,0,1,0,2,0,2,2,0,0,Negative
924,0.08333333333333333,62,101,89,132,2,0,1,3,3,1,2,0,2,2,0,2,Negative
925,2,81,105,181,40,0,0,2,3,3,1,0,1,1,1,0,0,Positive
929,2,88,101,137,124,0,2,4,3,3,0,2,0,2,2,0,0,Negative
