age,weight_lbs,temperature,heart_rate_bpm,resp_rate_bpm,mm,crt,mentation,vomiting,diarrhea,inappetence,lethargic,lameness,muscle_pain,joint_swelling,reported_weight_loss,skin_condition,is_4dx_tested
0.3333333333333333,39,99,170,20,Light Pink,<1 sec,BAR,Chronic,None,None,Mild,None,None,Mild,None,Normal,Negative
0.08333333333333333,34,101,168,131,Pink,1-2 sec,QAR,Mild,None,None,Mild,None,None,None,None,Normal,Negative
1.0,73,103,164,148,Pink,<1 sec,Dull/Depressed,Mild,None,Mild,Moderate,Present,Moderate,Moderate,None,Normal,Positive
8.0,54,100,158,21,Light Pink,1-2 sec,BAR,Mild,None,None,None,None,Mild,None,None,Normal,Negative
5.0,5,100,116,121,Light Pink,<1 sec,BAR,None,Moderate,Mild,Mild,None,None,None,None,Normal,Negative
3.0,73,99,152,122,Pink,<1 sec,QAR,Mild,Mild,None,None,None,None,None,None,Bruising,Negative
2.0,68,101,186,19,Pink,1-2 sec,BAR,None,None,Moderate,Mild,None,None,Mild,None,Normal,Negative
0.25,76,103,150,18,Light Pink,1-2 sec,Dull/Depressed,Mild,Mild,Mild,Mild,Present,None,Mild,None,Normal,Positive
0.8333333333333334,70,102,174,31,Pale,UTO,Dull/Depressed,Moderate,Mild,None,Mild,None,None,None,None,Bruising,Negative
2.0,80,100,177,42,Pink,1-2 sec,Dull/Depressed,Moderate,None,None,None,None,None,None,None,Normal,Negative
7.0,70,100,173,139,Pink,1-2 sec,BAR,None,Moderate,None,None,None,None,None,None,Normal,Negative
8.0,26,99,184,120,Pink,<1 sec,QAR,Mild,Mild,None,None,None,None,None,None,Normal,Negative
0.08333333333333333,29,99,188,150,Pink,1-2 sec,QAR,Moderate,Moderate,None,Moderate,None,None,None,None,Normal,Negative
3.0,22,99,112,41,Pink,1-2 sec,Dull/Depressed,None,None,Moderate,None,None,None,Mild,None,Normal,Negative
1.0,69,102,184,121,Pale,UTO,QAR,Mild,None,None,Moderate,None,None,None,None,Normal,Negative
0.08333333333333333,45,99,92,37,Pink,<1 sec,QAR,None,Mild,None,Mild,None,Mild,None,None,Bruising,Negative
1.0,46,99,178,40,Pink,<1 sec,BAR,None,Mild,None,Moderate,None,Mild,None,None,Normal,Negative
2.0,53,101,134,19,Pink,>2 sec,BAR,Mild,Moderate,Moderate,None,None,None,None,None,Normal,Negative
3.0,70,99,183,52,Pale,UTO,BAR,Mild,Mild,Mild,None,None,None,None,None,Bruising,Negative
0.4166666666666667,34,102,117,120,Pink,<1 sec,BAR,None,None,None,Mild,None,None,None,None,Normal,Negative
0.5833333333333334,70,104,99,49,Pink,1-2 sec,Dull/Depressed,None,None,None,Mild,None,None,Moderate,None,Normal,Positive
2.0,57,101,140,50,Pink,1-2 sec,BAR,Mild,None,None,None,None,None,None,None,Bruising,Negative
10.0,95,99,181,32,Pale,UTO,Dull/Depressed,None,Mild,None,None,None,None,None,None,Normal,Negative
12.0,60,100,132,18,Pale,UTO,BAR,None,Chronic,None,None,None,None,None,None,Normal,Negative
2.0,53,99,190,53,Pink,1-2 sec,BAR,Mild,None,Moderate,None,None,None,None,None,Normal,Negative
1.0,31,102,155,126,Pink,<1 sec,BAR,Moderate,Chronic,None,None,None,None,None,None,Normal,Negative
0.25,35,100,122,129,Pink,<1 sec,QAR,None,Mild,None,Mild,None,None,None,None,Normal,Negative
4.0,55,101,113,57,Pale,UTO,QAR,Mild,None,Moderate,None,None,None,Mild,None,Normal,Negative
5.0,31,100,103,55,Pale,UTO,Dull/Depressed,Moderate,None,Mild,Mild,None,Mild,None,None,Normal,Negative
2.0,20,99,183,21,Pale,UTO,Dull/Depressed,None,Moderate,Mild,Mild,None,None,None,None,Normal,Negative
0.6666666666666666,14,99,134,22,Pink,1-2 sec,Dull/Depressed,Mild,Mild,None,Mild,None,None,None,None,Bruising,Negative
2.0,55,102,104,52,Pink,<1 sec,BAR,None,Chronic,None,None,None,None,None,Present,Normal,Negative
3.0,6,101,96,128,Pale,UTO,Dull/Depressed,Mild,None,Moderate,None,None,None,None,None,Irritation,Negative
4.0,6,102,115,55,Pale,UTO,BAR,Chronic,Mild,None,Mild,None,None,Mild,None,Normal,Negative
2.0,82,102,151,46,Pink,1-2 sec,BAR,Chronic,Mild,Mild,None,None,None,None,None,Normal,Negative
2.0,29,99,108,125,Pink,<1 sec,Dull/Depressed,Mild,None,None,Mild,None,None,None,None,Normal,Negative
2.0,27,100,133,59,Pale,UTO,Anxious/Agitated,None,None,None,None,None,None,None,None,Irritation,Negative
5.0,188,102,92,38,Pink,1-2 sec,BAR,None,Chronic,None,Mild,None,None,None,None,Normal,Negative
0.16666666666666666,78,102,132,59,Pink,<1 sec,BAR,Moderate,Mild,Moderate,Mild,None,Mild,Mild,None,Normal,Negative
6.0,56,100,168,48,Pink,1-2 sec,BAR,Mild,Mild,None,Mild,None,Mild,None,None,Normal,Negative
7.0,77,100,101,21,Pink,1-2 sec,BAR,Mild,Mild,Mild,None,None,Mild,None,None,Normal,Negative
5.0,71,102,113,56,Pink,<1 sec,BAR,None,None,None,None,None,None,None,None,Normal,Negative
1.0,11,102,173,27,Pink,1-2 sec,BAR,None,None,None,None,None,None,None,None,Normal,Negative
0.16666666666666666,41,100,143,33,Light Pink,<1 sec,Dull/Depressed,None,Mild,None,Mild,None,None,None,None,Normal,Negative
0.16666666666666666,5,101,125,53,Pink,>2 sec,BAR,Mild,Mild,None,Mild,None,None,None,None,Irritation,Negative
0.4166666666666667,64,102,161,34,Pale,UTO,Dull/Depressed,None,Moderate,Moderate,None,None,Mild,None,None,Bruising,Negative
3.0,59,100,105,121,Pink,<1 sec,Dull/Depressed,None,Mild,None,None,None,None,None,None,Normal,Negative
12.0,79,99,102,37,Light Pink,1-2 sec,Dull/Depressed,Mild,Mild,None,Mild,None,Mild,Moderate,None,Normal,Negative
5.0,26,101,169,142,Pink,>2 sec,BAR,None,Mild,None,None,None,Mild,None,None,Bruising,Negative
8.0,66,101,93,42,Pink,<1 sec,Dull/Depressed,Mild,Mild,None,Mild,None,None,None,None,Normal,Negative
1.0,40,101,96,55,Light Pink,1-2 sec,QAR,None,Mild,None,None,None,None,Mild,Present,Normal,Negative
2.0,188,102,160,27,Pink,1-2 sec,BAR,Chronic,Mild,Mild,None,None,None,None,None,Petechiae,Negative
2.0,30,99,123,60,Pale,UTO,BAR,None,None,Mild,None,None,None,None,None,Normal,Negative
5.0,37,100,105,49,Pink,>2 sec,BAR,Mild,Mild,Moderate,None,None,None,None,None,Bruising,Negative
0.16666666666666666,87,99,185,49,Pink,>2 sec,BAR,Mild,None,Moderate,None,None,None,None,None,Normal,Negative
0.4166666666666667,30,100,137,53,Pink,1-2 sec,BAR,Mild,Mild,Mild,None,Present,None,Mild,None,Normal,Negative
0.4166666666666667,80,101,190,122,Pink,>2 sec,Dull/Depressed,Chronic,None,None,None,None,None,None,None,Normal,Negative
0.16666666666666666,123,100,90,54,Pink,1-2 sec,Dull/Depressed,Mild,Chronic,Mild,None,None,None,None,None,Normal,Negative
0.16666666666666666,85,102,163,150,Pale,UTO,BAR,Mild,Mild,Mild,None,None,None,None,None,Normal,Negative
0.75,63,102,91,55,Light Pink,1-2 sec,BAR,Mild,Mild,None,None,None,None,None,None,Normal,Negative
2.0,87,105,130,131,Pink,1-2 sec,QAR,Moderate,None,Mild,Mild,Present,Mild,Mild,Present,Bruising,Positive
0.3333333333333333,18,103,152,136,Pink,>2 sec,Dull/Depressed,Mild,None,Mild,Moderate,Present,Moderate,Moderate,None,Irritation,Positive
8.0,86,101,189,129,Pink,<1 sec,Dull/Depressed,Moderate,Mild,None,Mild,None,None,Mild,None,Normal,Negative
2.0,45,102,89,123,Pink,<1 sec,QAR,Mild,Chronic,None,Mild,None,None,None,None,Normal,Negative
3.0,127,105,178,28,Pink,>2 sec,BAR,None,Chronic,Mild,Moderate,Present,None,None,None,Normal,Positive
0.08333333333333333,90,102,160,147,Pink,1-2 sec,BAR,None,Mild,None,None,None,None,None,None,Normal,Negative
0.08333333333333333,134,102,118,40,Pink,1-2 sec,QAR,None,None,None,None,None,None,None,Present,Normal,Negative
0.08333333333333333,50,100,133,18,Pink,1-2 sec,BAR,None,Chronic,None,None,None,None,None,None,Normal,Negative
2.0,66,101,156,18,Pink,>2 sec,Dull/Depressed,Moderate,None,Moderate,Mild,None,None,None,Present,Normal,Negative
0.08333333333333333,67,99,188,27,Pink,1-2 sec,QAR,Moderate,Mild,None,Mild,None,None,None,None,Normal,Negative
2.0,33,99,125,122,Pink,1-2 sec,BAR,Mild,None,None,Mild,None,Mild,None,None,Normal,Negative
3.0,62,100,122,36,Pink,1-2 sec,Dull/Depressed,Mild,Mild,None,Mild,None,None,None,None,Normal,Negative
0.4166666666666667,78,101,154,57,Pink,1-2 sec,BAR,Mild,None,None,Mild,None,None,None,None,Normal,Negative
1.0,86,103,182,141,Pink,1-2 sec,Dull/Depressed,Moderate,Moderate,None,Moderate,Present,Mild,Moderate,None,Normal,Positive
1.0,85,101,111,34,Pink,1-2 sec,QAR,Mild,Mild,None,Mild,None,None,Mild,None,Normal,Negative
7.0,87,100,152,52,Light Pink,1-2 sec,Dull/Depressed,Mild,Mild,None,Moderate,None,None,None,None,Normal,Negative
12.0,17,99,150,28,Pink,1-2 sec,QAR,Mild,Mild,None,None,None,None,None,None,Normal,Negative
4.0,19,99,93,39,Pale,UTO,Dull/Depressed,Mild,Mild,None,Mild,None,Mild,None,None,Normal,Negative
8.0,22,100,167,128,Pale,UTO,Dull/Depressed,Moderate,Chronic,None,None,None,None,None,None,Normal,Negative
3.0,43,103,107,125,Pink,<1 sec,QAR,None,Moderate,Mild,Moderate,Present,Moderate,Moderate,Present,Petechia,Positive
5.0,67,99,163,137,Light Pink,1-2 sec,QAR,Mild,Chronic,None,None,None,None,None,None,Normal,Negative
8.0,37,101,152,33,Pink,>2 sec,BAR,Mild,Mild,None,None,None,None,None,None,Normal,Negative
0.08333333333333333,41,100,114,19,Pink,1-2 sec,BAR,None,Chronic,None,None,None,None,None,None,Normal,Negative
0.08333333333333333,193,102,172,40,Pink,<1 sec,QAR,None,Mild,Mild,None,None,None,None,None,Normal,Negative
6.0,36,101,131,145,Pink,1-2 sec,Dull/Depressed,Moderate,None,None,None,None,None,None,None,Normal,Negative
1.0,56,100,91,20,Pale,UTO,BAR,Mild,None,Mild,None,None,None,None,None,Normal,Negative
1.0,27,100,144,122,Light Pink,1-2 sec,QAR,Mild,None,Moderate,Mild,None,None,None,Present,Normal,Negative
0.16666666666666666,50,101,145,26,Pink,1-2 sec,BAR,None,None,None,None,None,None,None,None,Normal,Negative
6.0,5,104,120,47,Pink,<1 sec,Dull/Depressed,None,None,Mild,Mild,Present,None,None,Present,Normal,Positive
0.3333333333333333,39,102,176,125,Pink,<1 sec,BAR,Mild,Mild,None,None,Present,None,None,None,Bruising,Negative
6.0,58,102,150,123,Pink,>2 sec,QAR,None,Mild,Mild,Mild,None,None,Mild,None,Normal,Negative
1.0,67,100,141,36,Pink,>2 sec,QAR,None,None,None,None,None,None,Mild,None,Normal,Negative
1.0,88,101,180,53,Pink,<1 sec,BAR,None,None,None,Moderate,None,None,None,None,Normal,Negative
0.6666666666666666,82,100,166,43,Pale,UTO,QAR,Mild,None,Moderate,Mild,None,None,Mild,None,Normal,Negative
8.0,61,101,104,37,Pink,<1 sec,Dull/Depressed,None,Mild,Moderate,Mild,None,None,Moderate,None,Normal,Negative
9.0,79,102,111,120,Pink,<1 sec,Dull/Depressed,None,None,Mild,Mild,None,None,None,None,Bruising,Negative
1.0,23,100,131,34,Pale,UTO,Dull/Depressed,None,Mild,None,Mild,None,None,None,Present,Normal,Negative
12.0,49,99,114,39,Pink,1-2 sec,BAR,Mild,Mild,Moderate,Moderate,None,None,None,None,Bruising,Negative
0.4166666666666667,51,104,152,32,Pink,1-2 sec,Anxious/Agitated,Mild,Mild,Moderate,None,Present,None,Mild,Present,Petechia,Positive
0.6666666666666666,49,102,108,129,Pink,1-2 sec,QAR,None,Mild,None,None,None,None,None,None,Normal,Negative
0.16666666666666666,69,100,91,37,Pink,1-2 sec,QAR,None,None,None,None,None,Mild,None,None,Normal,Negative
9.0,60,101,114,40,Pink,1-2 sec,QAR,Mild,None,Mild,None,None,None,Mild,Present,Bruising,Negative
0.3333333333333333,51,104,167,44,Light Pink,1-2 sec,Anxious/Agitated,Mild,Mild,None,Mild,None,Moderate,Moderate,None,Petechia,Positive
2.0,46,99,99,22,Pink,1-2 sec,QAR,Mild,None,Mild,Mild,None,None,None,None,Normal,Negative
1.0,70,99,168,120,Pink,1-2 sec,BAR,None,Chronic,None,Mild,None,None,None,None,Bruising,Negative
1.0,61,102,93,147,Pink,<1 sec,BAR,Mild,Mild,Mild,None,None,None,None,None,Normal,Negative
5.0,59,99,189,48,Pink,>2 sec,Dull/Depressed,None,Moderate,None,Mild,None,Mild,None,None,Bruising,Negative
3.0,68,101,184,146,Pink,1-2 sec,BAR,None,None,None,None,None,None,None,None,Normal,Negative
3.0,167,105,106,21,Pink,1-2 sec,Dull/Depressed,Mild,Mild,Mild,Mild,None,Mild,Moderate,Present,Bruising,Positive
2.0,24,100,167,40,Pink,<1 sec,Dull/Depressed,None,Mild,None,None,None,None,None,None,Normal,Negative
0.16666666666666666,90,101,129,19,Pink,1-2 sec,QAR,Mild,Mild,None,None,None,None,None,Present,Normal,Negative
0.16666666666666666,33,102,93,125,Pink,1-2 sec,Dull/Depressed,Mild,None,None,None,None,None,None,None,Normal,Negative
1.0,25,101,126,40,Pink,<1 sec,Dull/Depressed,Moderate,None,None,None,None,None,None,None,Normal,Negative
1.0,22,102,120,34,Pink,>2 sec,BAR,Mild,Mild,None,Mild,None,None,None,Present,Normal,Negative
2.0,81,100,166,147,Pink,>2 sec,BAR,Mild,None,Mild,Moderate,None,None,None,None,Normal,Negative
0.16666666666666666,80,101,102,136,Pink,<1 sec,BAR,None,Mild,None,None,None,None,None,Present,Normal,Negative
3.0,36,99,137,123,Pink,1-2 sec,Dull/Depressed,None,None,None,Moderate,None,Mild,None,Present,Petechiae,Negative
1.0,57,99,165,29,Light Pink,<1 sec,QAR,Mild,Mild,None,None,None,None,None,None,Bruising,Negative
0.16666666666666666,32,105,126,137,Pink,1-2 sec,Dull/Depressed,Mild,None,Mild,None,None,Moderate,Mild,None,Bruising,Positive
10.0,66,100,113,122,Pink,<1 sec,BAR,None,Mild,Mild,None,None,None,None,None,Irritation,Negative
5.0,38,101,104,52,Pink,<1 sec,QAR,None,Chronic,Mild,None,None,None,None,None,Bruising,Negative
0.4166666666666667,7,99,161,54,Pink,>2 sec,Dull/Depressed,None,None,None,Mild,None,None,None,None,Normal,Negative
0.08333333333333333,74,101,152,45,Pink,1-2 sec,Dull/Depressed,Mild,Mild,Moderate,Mild,None,None,None,None,Petechiae,Negative
0.08333333333333333,27,103,102,52,Pink,1-2 sec,Dull/Depressed,Chronic,None,Mild,Mild,Present,Moderate,Mild,Present,Petechia,Positive
0.08333333333333333,112,99,125,28,Pink,<1 sec,QAR,Chronic,Mild,None,Moderate,None,None,None,None,Bruising,Negative
3.0,54,101,135,30,Pink,<1 sec,BAR,Mild,None,Moderate,Mild,None,None,None,None,Normal,Negative
0.3333333333333333,46,102,179,40,Pink,1-2 sec,QAR,Mild,None,None,None,None,None,None,None,Normal,Negative
0.4166666666666667,135,102,164,42,Pink,<1 sec,QAR,Mild,Mild,Moderate,None,None,None,None,None,Normal,Negative
0.3333333333333333,81,100,167,21,Pink,<1 sec,Dull/Depressed,Mild,None,None,Mild,None,None,None,Present,Normal,Negative
2.0,82,101,127,124,Pink,1-2 sec,QAR,None,None,None,None,None,None,None,None,Normal,Negative
0.16666666666666666,30,99,117,27,Pink,1-2 sec,BAR,None,None,Mild,Moderate,None,None,None,None,Bruising,Negative
0.75,68,100,161,133,Pink,1-2 sec,BAR,None,None,None,None,None,None,None,Present,Bruising,Negative
0.5833333333333334,46,100,190,125,Light Pink,<1 sec,BAR,Mild,None,None,Mild,None,None,None,None,Normal,Negative
2.0,35,99,183,20,Pink,1-2 sec,QAR,Mild,None,None,Moderate,None,Mild,None,None,Normal,Negative
0.3333333333333333,12,102,153,50,Pink,<1 sec,Dull/Depressed,Moderate,None,None,None,None,None,None,None,Bruising,Negative
1.0,144,102,141,54,Pink,<1 sec,QAR,Mild,Chronic,None,None,None,None,None,None,Normal,Negative
0.25,64,104,105,36,Pale,UTO,Dull/Depressed,None,None,Mild,Mild,Present,Mild,None,None,Bruising,Positive
2.0,82,102,141,31,Pale,UTO,Anxious/Agitated,Mild,Mild,Mild,None,None,None,None,None,Normal,Negative
2.0,56,100,98,127,Pink,>2 sec,BAR,Moderate,None,Mild,None,None,None,None,None,Normal,Negative
1.0,38,102,164,50,Pink,1-2 sec,QAR,Mild,Mild,Moderate,None,None,None,Mild,None,Normal,Negative
2.0,39,99,108,143,Pink,1-2 sec,Obtunded,Mild,None,None,Moderate,None,None,None,None,Normal,Negative
0.4166666666666667,53,102,154,35,Light Pink,<1 sec,BAR,Chronic,None,Mild,None,None,None,None,None,Normal,Negative
1.0,33,101,166,145,Pink,<1 sec,Dull/Depressed,Mild,None,Mild,None,None,Mild,None,None,Normal,Negative
0.08333333333333333,11,101,121,23,Pink,>2 sec,BAR,None,Moderate,None,Moderate,None,None,None,None,Normal,Negative
0.08333333333333333,9,102,96,59,Pink,<1 sec,QAR,Moderate,Mild,None,None,None,None,None,None,Bruising,Negative
2.0,191,101,178,18,Pink,1-2 sec,QAR,Mild,Moderate,None,None,None,None,Mild,None,Bruising,Negative
2.0,48,100,112,46,Pale,UTO,Dull/Depressed,Moderate,Moderate,None,Mild,None,None,None,None,Irritation,Negative
1.0,83,99,139,39,Pink,1-2 sec,BAR,Mild,Mild,None,Mild,None,Mild,None,None,Normal,Negative
2.0,67,102,110,51,Pink,1-2 sec,BAR,Chronic,None,Mild,None,None,Mild,None,None,Normal,Negative
6.0,14,102,116,60,Pink,>2 sec,QAR,Moderate,None,None,None,None,None,Mild,None,Bruising,Negative
1.0,37,101,89,33,Pink,>2 sec,Dull/Depressed,None,Mild,Mild,Mild,None,None,None,None,Irritation,Negative
1.0,17,100,108,149,Pink,1-2 sec,Dull/Depressed,Mild,Mild,None,None,None,None,Mild,None,Normal,Negative
6.0,11,100,156,120,Pink,1-2 sec,QAR,None,None,None,Mild,None,Mild,None,None,Normal,Negative
4.0,65,100,109,45,Pink,<1 sec,BAR,Moderate,Mild,None,None,None,Mild,Mild,None,Normal,Negative
4.0,13,103,164,21,Pink,1-2 sec,QAR,Mild,None,Mild,Mild,Present,Mild,Moderate,Present,Petechia,Positive
5.0,64,101,136,22,Pale,UTO,BAR,None,Mild,None,None,None,None,None,None,Normal,Negative
0.3333333333333333,27,100,139,30,Pink,1-2 sec,QAR,Mild,None,None,Mild,None,None,None,None,Normal,Negative
0.5,17,102,145,57,Pale,UTO,QAR,Mild,Moderate,Mild,Moderate,None,None,Mild,None,Normal,Negative
1.0,59,102,162,49,Pink,1-2 sec,Anxious/Agitated,None,None,Mild,None,None,None,None,Present,Normal,Negative
1.0,52,100,158,55,Pink,<1 sec,BAR,None,Chronic,Mild,None,None,None,None,None,Normal,Negative
0.08333333333333333,5,100,117,124,Pale,UTO,QAR,None,Mild,Mild,Mild,Present,None,None,None,Normal,Negative
6.0,89,100,89,19,Pink,>2 sec,BAR,Mild,Mild,None,None,None,None,None,None,Normal,Negative
1.0,81,99,141,45,Pink,<1 sec,Dull/Depressed,Mild,Moderate,Mild,None,None,None,None,None,Normal,Negative
2.0,67,101,166,137,Light Pink,1-2 sec,BAR,Chronic,Chronic,None,Moderate,None,Mild,None,None,Normal,Negative
0.8333333333333334,73,100,91,141,Pink,1-2 sec,QAR,Moderate,None,Mild,None,None,None,None,None,Normal,Negative
0.75,163,102,178,44,Pink,1-2 sec,BAR,Moderate,None,None,None,None,None,Mild,None,Normal,Negative
0.005479452054794521,26,102,123,144,Pale,UTO,BAR,Mild,Mild,None,Mild,None,Mild,None,Present,Normal,Negative
2.0,9,101,148,23,Pale,UTO,Dull/Depressed,None,None,None,None,None,None,None,None,Normal,Negative
2.0,83,104,170,131,Pink,1-2 sec,Dull/Depressed,Chronic,None,Mild,Moderate,Present,Moderate,None,Present,Normal,Positive
2.0,50,101,105,19,Pink,1-2 sec,Dull/Depressed,None,None,None,None,None,None,Moderate,None,Normal,Negative
15.0,59,102,173,45,Pale,UTO,Anxious/Agitated,None,Mild,None,None,None,None,None,None,Normal,Negative
0.08333333333333333,65,99,149,127,Pink,1-2 sec,QAR,Chronic,Mild,None,None,None,None,Mild,None,Normal,Negative
4.0,54,99,187,59,Pale,UTO,BAR,None,Mild,Mild,None,None,None,None,Present,Bruising,Negative
0.3333333333333333,58,100,124,58,Pink,>2 sec,Dull/Depressed,Chronic,Mild,Severe,Mild,None,None,None,None,Bruising,Negative
1.0,51,102,181,126,Pink,<1 sec,Dull/Depressed,None,Mild,Moderate,None,None,None,Mild,None,Normal,Negative
5.0,19,102,89,37,Pink,<1 sec,QAR,None,Mild,Mild,None,None,None,None,None,Bruising,Negative
3.0,35,100,121,31,Pink,1-2 sec,QAR,Mild,Mild,Moderate,Moderate,None,None,None,None,Normal,Negative
1.0,68,101,105,25,Pink,1-2 sec,BAR,Mild,None,None,Moderate,None,None,None,None,Normal,Negative
0.75,17,99,93,25,Light Pink,1-2 sec,Dull/Depressed,None,Mild,None,Moderate,None,None,None,None,Normal,Negative
1.0,58,102,186,22,Light Pink,1-2 sec,QAR,None,Mild,None,None,None,Mild,None,None,Normal,Negative
2.0,33,99,117,27,Pink,<1 sec,QAR,None,Mild,None,Mild,None,None,None,Present,Normal,Negative
1.0,10,100,129,20,Pink,>2 sec,Dull/Depressed,Moderate,Chronic,Moderate,None,None,None,None,None,Normal,Negative
0.75,53,100,180,55,Pale,UTO,BAR,None,None,Moderate,Mild,None,Mild,None,None,Normal,Negative
3.0,84,102,151,141,Pink,1-2 sec,BAR,Mild,Mild,Mild,None,None,None,None,None,Normal,Negative
1.0,29,99,151,50,Pink,1-2 sec,BAR,Moderate,None,None,Mild,None,None,None,Present,Normal,Negative
