fipscode,state,county,ixodes_scapularis_county_status_2016,ixodes_pacificus_county_status_2016,ixodes_scapularis_county_status_2018,ixodes_pacificus_county_status_2018,ixodes_scapularis_county_status_2019,ixodes_pacificus_county_status_2019,ixodes_scapularis_county_status_2020,ixodes_pacificus_county_status_2020,ixodes_scapularis_county_status_2021,ixodes_pacificus_county_status_2021
1055,AL,Etowah County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
1057,AL,Fayette County,No records,No records,Established,No records,Established,No records,Established,No records,Established,No records
1059,AL,Franklin County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
1061,AL,Geneva County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
1063,AL,Greene County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
1065,AL,Hale County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
1067,AL,Henry County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
1069,AL,Houston County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Established,No records
1071,AL,Jackson County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
1073,AL,Jefferson County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Established,No records
1075,AL,Lamar County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
1077,AL,Lauderdale County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
1079,AL,Lawrence County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
1081,AL,Lee County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
1083,AL,Limestone County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
1085,AL,Lowndes County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
1087,AL,Macon County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
1089,AL,Madison County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
1091,AL,Marengo County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
1093,AL,Marion County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
1095,AL,Marshall County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
1097,AL,Mobile County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
1099,AL,Monroe County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
1101,AL,Montgomery County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
1103,AL,Morgan County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
1105,AL,Perry County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
1107,AL,Pickens County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
1109,AL,Pike County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
1111,AL,Randolph County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
1113,AL,Russell County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
1115,AL,St. Clair County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
1117,AL,Shelby County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
1119,AL,Sumter County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
1121,AL,Talladega County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
1123,AL,Tallapoosa County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
1125,AL,Tuscaloosa County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Established,No records
1127,AL,Walker County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
1129,AL,Washington County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Established,No records
1131,AL,Wilcox County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
1133,AL,Winston County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
4001,AZ,Apache County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
4003,AZ,Cochise County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
4005,AZ,Coconino County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
4007,AZ,Gila County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
4009,AZ,Graham County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
4011,AZ,Greenlee County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
4012,AZ,La Paz County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
4013,AZ,Maricopa County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
4015,AZ,Mohave County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
4017,AZ,Navajo County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
4019,AZ,Pima County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
4021,AZ,Pinal County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
4023,AZ,Santa Cruz County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
4025,AZ,Yavapai County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
4027,AZ,Yuma County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
5001,AR,Arkansas County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
5003,AR,Ashley County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
5005,AR,Baxter County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
5007,AR,Benton County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
5009,AR,Boone County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
5011,AR,Bradley County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
5013,AR,Calhoun County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
5015,AR,Carroll County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
5017,AR,Chicot County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
5019,AR,Clark County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
5021,AR,Clay County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
5023,AR,Cleburne County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
5025,AR,Cleveland County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
5027,AR,Columbia County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
5029,AR,Conway County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
5031,AR,Craighead County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
5033,AR,Crawford County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
5035,AR,Crittenden County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
5037,AR,Cross County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
5039,AR,Dallas County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
5041,AR,Desha County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
5043,AR,Drew County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
5045,AR,Faulkner County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
5047,AR,Franklin County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
5049,AR,Fulton County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
5051,AR,Garland County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
5053,AR,Grant County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
5055,AR,Greene County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
5057,AR,Hempstead County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
5059,AR,Hot Spring County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
5061,AR,Howard County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
5063,AR,Independence County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
5065,AR,Izard County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
5067,AR,Jackson County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
5069,AR,Jefferson County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
5071,AR,Johnson County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
5073,AR,Lafayette County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
5075,AR,Lawrence County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
5077,AR,Lee County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
5079,AR,Lincoln County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
5081,AR,Little River County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
5083,AR,Logan County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
5085,AR,Lonoke County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
5087,AR,Madison County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
5089,AR,Marion County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
5091,AR,Miller County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
5093,AR,Mississippi County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
5095,AR,Monroe County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
5097,AR,Montgomery County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
5099,AR,Nevada County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
5101,AR,Newton County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
5103,AR,Ouachita County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
5105,AR,Perry County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
5107,AR,Phillips County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
5109,AR,Pike County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
5111,AR,Poinsett County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
5113,AR,Polk County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
5115,AR,Pope County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
5117,AR,Prairie County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
5119,AR,Pulaski County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
5121,AR,Randolph County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
5123,AR,St. Francis County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
5125,AR,Saline County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
5127,AR,Scott County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
5129,AR,Searcy County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
5131,AR,Sebastian County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
5133,AR,Sevier County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
5135,AR,Sharp County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
5137,AR,Stone County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
5139,AR,Union County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
5141,AR,Van Buren County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
5143,AR,Washington County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
5145,AR,White County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
5147,AR,Woodruff County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
5149,AR,Yell County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
6001,CA,Alameda County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6003,CA,Alpine County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
6005,CA,Amador County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6007,CA,Butte County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6009,CA,Calaveras County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6011,CA,Colusa County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6013,CA,Contra Costa County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6015,CA,Del Norte County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6017,CA,El Dorado County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6019,CA,Fresno County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6021,CA,Glenn County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6023,CA,Humboldt County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6025,CA,Imperial County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6027,CA,Inyo County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6029,CA,Kern County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6031,CA,Kings County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6033,CA,Lake County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6035,CA,Lassen County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6037,CA,Los Angeles County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6039,CA,Madera County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6041,CA,Marin County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6043,CA,Mariposa County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6045,CA,Mendocino County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6047,CA,Merced County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6049,CA,Modoc County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
6051,CA,Mono County,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported
6053,CA,Monterey County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6055,CA,Napa County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6057,CA,Nevada County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6059,CA,Orange County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6061,CA,Placer County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6063,CA,Plumas County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6065,CA,Riverside County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6067,CA,Sacramento County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6069,CA,San Benito County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6071,CA,San Bernardino County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6073,CA,San Diego County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6075,CA,San Francisco County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6077,CA,San Joaquin County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6079,CA,San Luis Obispo County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6081,CA,San Mateo County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6083,CA,Santa Barbara County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6085,CA,Santa Clara County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6087,CA,Santa Cruz County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6089,CA,Shasta County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6091,CA,Sierra County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6093,CA,Siskiyou County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6095,CA,Solano County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6097,CA,Sonoma County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6099,CA,Stanislaus County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6101,CA,Sutter County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6103,CA,Tehama County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6105,CA,Trinity County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6107,CA,Tulare County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6109,CA,Tuolumne County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6111,CA,Ventura County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6113,CA,Yolo County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
6115,CA,Yuba County,No records,Established,No records,Established,No records,Established,No records,Established,No records,Established
8001,CO,Adams County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8003,CO,Alamosa County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8005,CO,Arapahoe County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8007,CO,Archuleta County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8009,CO,Baca County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8011,CO,Bent County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8013,CO,Boulder County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8014,CO,Broomfield County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8015,CO,Chaffee County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8017,CO,Cheyenne County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8019,CO,Clear Creek County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8021,CO,Conejos County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8023,CO,Costilla County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8025,CO,Crowley County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8027,CO,Custer County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8029,CO,Delta County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8031,CO,Denver County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8033,CO,Dolores County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8035,CO,Douglas County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8037,CO,Eagle County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8039,CO,Elbert County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8041,CO,El Paso County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8043,CO,Fremont County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8045,CO,Garfield County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8047,CO,Gilpin County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8049,CO,Grand County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8051,CO,Gunnison County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8053,CO,Hinsdale County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8055,CO,Huerfano County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8057,CO,Jackson County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8059,CO,Jefferson County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8061,CO,Kiowa County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8063,CO,Kit Carson County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8065,CO,Lake County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8067,CO,La Plata County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8069,CO,Larimer County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8071,CO,Las Animas County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8073,CO,Lincoln County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8075,CO,Logan County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8077,CO,Mesa County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8079,CO,Mineral County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8081,CO,Moffat County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8083,CO,Montezuma County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8085,CO,Montrose County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8087,CO,Morgan County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8089,CO,Otero County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8091,CO,Ouray County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8093,CO,Park County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8095,CO,Phillips County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8097,CO,Pitkin County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8099,CO,Prowers County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8101,CO,Pueblo County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8103,CO,Rio Blanco County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8105,CO,Rio Grande County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8107,CO,Routt County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8109,CO,Saguache County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8111,CO,San Juan County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8113,CO,San Miguel County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8115,CO,Sedgwick County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8117,CO,Summit County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8119,CO,Teller County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8121,CO,Washington County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8123,CO,Weld County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
8125,CO,Yuma County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
9001,CT,Fairfield County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
9003,CT,Hartford County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
9005,CT,Litchfield County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
9007,CT,Middlesex County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
9009,CT,New Haven County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
9011,CT,New London County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
9013,CT,Tolland County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
9015,CT,Windham County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
10001,DE,Kent County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
10003,DE,New Castle County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
10005,DE,Sussex County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
11001,DC,District of Columbia County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
12001,FL,Alachua County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
12003,FL,Baker County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
12005,FL,Bay County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
12007,FL,Bradford County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
12009,FL,Brevard County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
12011,FL,Broward County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
12013,FL,Calhoun County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
12015,FL,Charlotte County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
12017,FL,Citrus County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
12019,FL,Clay County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
12021,FL,Collier County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
12023,FL,Columbia County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
12027,FL,DeSoto County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
12029,FL,Dixie County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
12031,FL,Duval County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Established,No records
12033,FL,Escambia County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
12035,FL,Flagler County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
12037,FL,Franklin County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
12039,FL,Gadsden County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
12041,FL,Gilchrist County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
12043,FL,Glades County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
12045,FL,Gulf County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
12047,FL,Hamilton County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
12049,FL,Hardee County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
12051,FL,Hendry County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
12053,FL,Hernando County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
