FIPSCode,State,County,Ixodes_scapularis_County_Status,Ixodes_scapularis_data_source,Ixodes_pacificus_county_status,Ixodes_pacificus_data_source
01083,AL,Limestone County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01085,AL,Lowndes County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01087,AL,Macon County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01089,AL,Madison County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01091,AL,Marengo County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01093,AL,Marion County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01095,AL,Marshall County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01097,AL,Mobile County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01099,AL,Monroe County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01101,AL,Montgomery County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01103,AL,Morgan County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01105,AL,Perry County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01107,AL,Pickens County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01109,AL,Pike County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01111,AL,Randolph County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01113,AL,Russell County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01115,AL,St. Clair County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01117,AL,Shelby County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01119,AL,Sumter County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01121,AL,Talladega County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01123,AL,Tallapoosa County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01125,AL,Tuscaloosa County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01127,AL,Walker County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01129,AL,Washington County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01131,AL,Wilcox County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01133,AL,Winston County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
04001,AZ,Apache County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
04003,AZ,Cochise County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
04005,AZ,Coconino County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
04007,AZ,Gila County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
04009,AZ,Graham County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
04011,AZ,Greenlee County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
04012,AZ,La Paz County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
04013,AZ,Maricopa County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
04015,AZ,Mohave County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
04017,AZ,Navajo County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
04019,AZ,Pima County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
04021,AZ,Pinal County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
04023,AZ,Santa Cruz County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
04025,AZ,Yavapai County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
04027,AZ,Yuma County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05001,AR,Arkansas County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05003,AR,Ashley County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05005,AR,Baxter County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05007,AR,Benton County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05009,AR,Boone County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05011,AR,Bradley County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05013,AR,Calhoun County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05015,AR,Carroll County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05017,AR,Chicot County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05019,AR,Clark County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05021,AR,Clay County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05023,AR,Cleburne County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05025,AR,Cleveland County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05027,AR,Columbia County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05029,AR,Conway County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05031,AR,Craighead County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05033,AR,Crawford County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05035,AR,Crittenden County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05037,AR,Cross County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05039,AR,Dallas County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05041,AR,Desha County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05043,AR,Drew County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05045,AR,Faulkner County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05047,AR,Franklin County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05049,AR,Fulton County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05051,AR,Garland County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05053,AR,Grant County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05055,AR,Greene County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05057,AR,Hempstead County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05059,AR,Hot Spring County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05061,AR,Howard County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05063,AR,Independence County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05065,AR,Izard County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05067,AR,Jackson County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05069,AR,Jefferson County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05071,AR,Johnson County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05073,AR,Lafayette County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05075,AR,Lawrence County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05077,AR,Lee County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05079,AR,Lincoln County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05081,AR,Little River County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05083,AR,Logan County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05085,AR,Lonoke County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05087,AR,Madison County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05089,AR,Marion County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05091,AR,Miller County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05093,AR,Mississippi County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05095,AR,Monroe County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05097,AR,Montgomery County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05099,AR,Nevada County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05101,AR,Newton County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05103,AR,Ouachita County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05105,AR,Perry County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05107,AR,Phillips County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05109,AR,Pike County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05111,AR,Poinsett County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05113,AR,Polk County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05115,AR,Pope County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05117,AR,Prairie County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05119,AR,Pulaski County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05121,AR,Randolph County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05123,AR,St. Francis County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05125,AR,Saline County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05127,AR,Scott County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05129,AR,Searcy County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05131,AR,Sebastian County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05133,AR,Sevier County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05135,AR,Sharp County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05137,AR,Stone County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05139,AR,Union County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05141,AR,Van Buren County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05143,AR,Washington County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05145,AR,White County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05147,AR,Woodruff County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
05149,AR,Yell County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
06001,CA,Alameda County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06003,CA,Alpine County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
06005,CA,Amador County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06007,CA,Butte County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06009,CA,Calaveras County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06011,CA,Colusa County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06013,CA,Contra Costa County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06015,CA,Del Norte County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06017,CA,El Dorado County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06019,CA,Fresno County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06021,CA,Glenn County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06023,CA,Humboldt County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06025,CA,Imperial County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06027,CA,Inyo County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06029,CA,Kern County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06031,CA,Kings County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06033,CA,Lake County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06035,CA,Lassen County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06037,CA,Los Angeles County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06039,CA,Madera County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06041,CA,Marin County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06043,CA,Mariposa County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06045,CA,Mendocino County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06047,CA,Merced County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06049,CA,Modoc County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
06051,CA,Mono County,No records,Eisen et al. 2016. J Med Entomol.,Reported,Eisen et al. 2016. J Med Entomol.
06053,CA,Monterey County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06055,CA,Napa County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06057,CA,Nevada County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06059,CA,Orange County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06061,CA,Placer County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06063,CA,Plumas County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06065,CA,Riverside County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06067,CA,Sacramento County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06069,CA,San Benito County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06071,CA,San Bernardino County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06073,CA,San Diego County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06075,CA,San Francisco County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06077,CA,San Joaquin County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06079,CA,San Luis Obispo County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06081,CA,San Mateo County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06083,CA,Santa Barbara County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06085,CA,Santa Clara County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06087,CA,Santa Cruz County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06089,CA,Shasta County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06091,CA,Sierra County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06093,CA,Siskiyou County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06095,CA,Solano County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06097,CA,Sonoma County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06099,CA,Stanislaus County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06101,CA,Sutter County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06103,CA,Tehama County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06105,CA,Trinity County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06107,CA,Tulare County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06109,CA,Tuolumne County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06111,CA,Ventura County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06113,CA,Yolo County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
06115,CA,Yuba County,No records,Eisen et al. 2016. J Med Entomol.,Established,Eisen et al. 2016. J Med Entomol.
08001,CO,Adams County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
08003,CO,Alamosa County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
08005,CO,Arapahoe County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
08007,CO,Archuleta County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
08009,CO,Baca County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
08011,CO,Bent County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
08013,CO,Boulder County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
08014,CO,Broomfield County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
08015,CO,Chaffee County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
08017,CO,Cheyenne County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
08019,CO,Clear Creek County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
08021,CO,Conejos County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
08023,CO,Costilla County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
08025,CO,Crowley County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
08027,CO,Custer County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
08029,CO,Delta County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
08031,CO,Denver County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
08033,CO,Dolores County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
08035,CO,Douglas County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
08037,CO,Eagle County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
08039,CO,Elbert County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
08041,CO,El Paso County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
